"","station","name","lon","lat"
"20703","10100000","TABATINGA",-69.9447,-4.2347
"20704","10200000","PALMEIRAS DO JAVARI",-72.8136,-5.1389
"20705","10300000","SANTA MARIA/FLORES",-71.4003,-4.5397
"20706","10500000","ESTIRAO DO REPOUSO",-70.9056,-4.3408
"20709","10800000","SERINGAL DO ITUI",-70.3,-4.7333
"20710","10900000","LADARIO",-70.3,-4.7333
"20711","10910000","LADARIO - JUSANTE",-70.2644,-4.5836
"20740","11200000","TERESINA",-69.7336,-4.3578
"20742","11400000","SAO PAULO DE OLIVENCA",-68.9119,-3.4569
"20744","11444900","IPIRANGA NOVO",-69.6931,-2.9297
"20745","11450000","IPIRANGA VELHO",-69.5228,-2.9417
"20746","11500000","SANTO ANTONIO DO ICA",-67.9356,-3.1017
"20747","12100000","COLOCACAO CAXIAS NOVO",-68.3244,-4.6514
"20748","12150000","CONCEICAO (EX. ILHA DA NOVA SORTE)",-68.6633,-4.8967
"20749","12180000","TANIBUCA",-68.1353,-4.745
"20750","12200000","BARREIRA ALTA",-67.8925,-4.2211
"20752","12230000","BARREIRA BRANCA",-67.3444,-4.3256
"20753","12240000","PORTO SEGURO",-67.4917,-3.3372
"20758","12360000","FOZ DO BREU",-72.7158,-9.4097
"20761","12370000","THAUMATURGO",-72.7844,-8.9458
"20763","12390000","PORTO WALTER",-72.7411,-8.2672
"20764","12400000","SERRA DO MOA",-73.6644,-7.4483
"20765","12420000","BASE SAO SALVADOR",-73.1914,-7.4125
"20767","12500000","CRUZEIRO DO SUL",-72.6603,-7.6333
"20772","12510000","SERINGAL BOM FUTURO",-72.0547,-7.8492
"20775","12520000","IPIXUNA",-71.6892,-7.0556
"20776","12530000","FAZENDA PARANACRE",-71.4822,-7.9511
"20777","12540000","SERINGAL SANTO AMARO",-70.9833,-7.2667
"20778","12550000","EIRUNEPE - MONTANTE",-69.8811,-6.6844
"20782","12560000","SERINGAL SAO LUIZ",-71.5517,-8.6181
"20786","12600001","TARAUACA - JUSANTE",-70.7153,-8.1458
"20789","12640000","SERINGAL SANTA HELENA",-70.5511,-8.6858
"20790","12650000","FEIJO",-70.3564,-8.1636
"20793","12680000","ENVIRA",-70.0225,-7.4281
"20794","12700000","SANTOS DUMONT",-68.2461,-6.4403
"20796","12840000","GAVIAO",-66.8506,-4.8392
"20846","12845000","VILA BITTENCOURT",-69.4283,-1.3947
"20847","12850000","ACANAUI",-66.6092,-1.8211
"20848","12860000","ABACATAL",-66.55,-1.6
"20849","12870000","BARREIRINHA",-66.4169,-2.1003
"20852","12875000","FAZENDA BOA ESPERANCA",-67.2339,-5.2386
"20853","12880000","ESTIRAO DA SANTA CRUZ",-65.2017,-4.2922
"20857","13100000","SERINGAL MOREIRA",-63.9847,-5.1092
"20858","13150000","ITAPEUA",-63.0278,-4.0578
"20866","13170000","SANTA ROSA DO PURUS",-70.475,-9.4278
"20868","13175000","FAZENDA JUSSARA",-69.9167,-9.35
"20870","13180000","MANOEL URBANO",-69.275,-8.8886
"20872","13200000","SERINGAL PROVIDENCIA",-68.6292,-8.9444
"20874","13300000","SERINGAL SAO JOSE",-68.7239,-9.3744
"20875","13310000","SENA MADUREIRA",-68.6531,-9.0678
"20876","13400000","BOCA DO CAFEZAL",-68.6533,-9.0603
"20878","13405000","SERINGAL GUARANY",-68.9933,-9.1103
"20880","13410000","SERINGAL DA CARIDADE",-68.5772,-9.0439
"20884","13450000","ASSIS BRASIL",-69.5656,-10.9436
"20888","13470000","BRASILEIA",-68.745,-11.0178
"20892","13550000","XAPURI",-68.5075,-10.6511
"20895","13560000","FAZENDA PERSEVERANCA",-68.4253,-10.6383
"20900","13580000","FAZENDA SANTO AFONSO",-67.9006,-10.0908
"20902","13600002","RIO BRANCO",-67.8008,-9.975
"20908","13650000","FLORIANO PEIXOTO",-67.3969,-9.0667
"20911","13710000","VALPARAISO - MONTANTE",-67.3681,-8.6506
"20912","13710001","VALPARAISO - MONTANTE",-67.375,-8.6533
"20913","13730000","SERINGAL SAO PEDRO",-67.6,-7.5167
"20914","13740000","FAZENDA BORANGABA",-67.4778,-7.54
"20915","13750000","SERINGAL FORTALEZA",-66.9997,-7.7156
"20918","13840000","CACHOEIRA FORTALEZA",-66.1833,-8.8611
"20919","13840001","CACHOEIRA FORTALEZA - JUSANTE",-66.1139,-8.8194
"20920","13845000","CACHOEIRA DO MEIO",-66.1333,-8.8
"20921","13848000","GAIVOTAO",-65.9167,-8.7833
"20922","13849000","JURENE",-65.8844,-8.7675
"20924","13850000","SAO GREGORIO",-64.93,-7.5517
"20925","13870000","LABREA",-64.7975,-7.2581
"20927","13880000","CANUTAMA",-64.3858,-6.5389
"20928","13885000","CRISTO",-64.2433,-7.4644
"20929","13885500","FAZENDA BOA VISTA",-65.9167,-6.4667
"20930","13886000","BACABA",-64.8861,-6.3192
"20932","13900000","CASTANHAL PATU",-64.3333,-5.6667
"20935","13950000","BEABA (CARIUACANGA)",-62.8686,-4.8592
"20938","13962000","ARUMA - JUSANTE",-62.1453,-4.7286
"20953","14100000","MANACAPURU",-60.6094,-3.3106
"20955","14110000","CUCUI",-66.8525,1.2153
"20960","14220000","LOURO POCO",-68.6858,1.3392
"20961","14230000","MISSAO ICANA",-67.5947,1.0744
"20962","14250000","SAO FELIPE",-67.3128,0.3717
"20963","14260000","UARACU",-69.1281,0.4769
"20965","14280001","TARAQUA",-68.5386,0.1303
"20966","14300000","PARI CACHOEIRA",-69.785,0.2494
"20967","14310000","CUNURI",-69.3781,0.2094
"20970","14325000","TUMBIRA",-67.5358,-0.3444
"20971","14330000","CURICURIARI",-66.8022,-0.2006
"20972","14350000","JUSANTE DA CACHOEIRA DO CAJU",-67.0092,-0.2461
"20974","14380000","MISSAO MATURACA",-66.135,0.6194
"20976","14420000","SERRINHA",-64.8289,-0.4819
"20979","14425000","CACHOEIRA ALIANCA",-64.1667,-0.8167
"20980","14428000","VILA CONCEICAO - MONTANTE",-63.9883,0.2275
"20981","14430000","VILA CONCEICAO",-63.9606,0.13
"20982","14440000","POSTO AJURICABA",-62.6219,0.8842
"20983","14450000","JALAUACA",-62.7622,-0.3011
"20987","14485000","MISSAO AUARI",-64.4667,3.9833
"20988","14485010","MISSAO AUARIS - JUSANTE",-64.4431,4.0031
"20989","14488000","UAICAS",-63.1692,3.5497
"20991","14489000","MARACA",-61.4222,3.3528
"20993","14495000","FAZENDA CAJUPIRANGA",-61.0367,3.4381
"20994","14500000","MOCIDADE",-60.9097,3.4644
"20996","14515000","FAZENDA PASSARAO",-60.5711,3.2078
"21000","14526000","BONFIM",-59.8111,3.3811
"21002","14527000","PONTE DO TACUTU",-59.8883,3.5675
"21007","14529000","FAZENDA NOVO DESTINO",-59.6875,3.8547
"21008","14530000","VILA SURUMU",-60.7939,4.1961
"21011","14540000","FAZENDA BANDEIRA BRANCA",-60.4706,4.6306
"21014","14550000","MALOCA DO CONTAO",-60.5289,4.1675
"21017","14560000","MALOCA AILAN",-60.1833,4.6333
"21022","14570000","SITIO JARAGUA",-60.7317,2.8569
"21026","14650000","POSTO FUNAI",-62.0172,2.7317
"21027","14680000","FAZENDA SANTO AMARO",-61.3333,2.8833
"21028","14680001","FE E ESPERANCA",-61.4406,2.8708
"21030","14690000","MUCAJAI",-60.9178,2.4714
"21033","14710000","CARACARAI",-61.1236,1.8214
"21035","14750000","MISSAO CATRIMANI",-62.2833,1.75
"21038","14810000","FAZENDA ANAUA",-60.2236,1.1292
